citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34
Porto Velho, Rondônia, Brazil	1183.22642781127	873.8813694984497	6.902777777777789	1.6057453751689663	12	2460.3566822417724	1148.182535189251	2429.2331358469282	1543.394758415732	213.67314761173898	2635.7672970822587	1102.7079438331057	1243.511357438847	294.44434280299674	329.3571744255321	256.66326083879443	541.4254980082842																								8.23333333333334	6.133333333333347	8.166666666666673	7.466666666666676	6.466666666666679	8.500000000000005	2.6666666666666927	5.700000000000015	7.766666666666675	7.933333333333341	8.066666666666674	5.7333333333333485																								California	Ontario	California	California	Aargau	Alberta	Saarland	Saarland	Aargau	Aargau	Aargau	Baden-Württemberg																								United States	Canada	United States	United States	Switzerland	Canada	Germany	Germany	Switzerland	Switzerland	Switzerland	Germany																							
Tartagal, Argentina	1182.8992025676075	0	8.533333333333339	0	1	1182.8992025676075																																			8.533333333333339																																			Aargau																																			Switzerland																																		
Neuquén, Argentina	1177.1935043040241	0	8.433333333333339	0	1	1177.1935043040241																																			8.433333333333339																																			Alberta																																			Canada																																		
Paita, Peru	1123.9648623313176	220.84084138718754	7.988888888888895	0.8086721321301643	6	1174.5258214189255	766.1037353097449	931.5767812067566	1443.814437558339	1156.8089520020408	1270.9594464921001																														6.233333333333347	8.33333333333334	8.500000000000005	7.933333333333341	8.500000000000005	8.433333333333339																														California	New South Wales	California	Aargau	Aargau	Aargau																														United States	Australia	United States	Switzerland	Switzerland	Switzerland																													
Santa Fe, Argentina	1087.4933882638682	1425.1313000877074	5.366666666666682	2.5453349796696947	7	390.2535959307657	4516.223860006878	955.7277653419839	857.6138381726278	326.9298113953427	407.5534175008247	158.1514294986534																													6.400000000000013	3.8666666666666885	0.3666666666666921	4.633333333333352	8.23333333333334	8.200000000000006	5.866666666666681																													New South Wales			Thuringia	Alberta	Aargau	Baden-Württemberg																													Australia	None	None	Germany	Canada	Switzerland	Germany																												
Barrancabermeja, Colombia	1062.3454957054075	2077.3277677447836	6.870833333333344	1.9500311607196823	8	420.34428553862864	208.42848584515926	366.70527471188217	128.97207140398953	414.43464979276837	230.09482495978864	178.2001725748413	6551.584200816203																												7.733333333333341	8.433333333333339	8.600000000000005	8.23333333333334	2.8000000000000256	4.8000000000000185	8.000000000000007	6.36666666666668																												Baden-Württemberg	Aargau	California	California	England	England	Aargau	England																												Germany	Switzerland	United States	United States	United Kingdom	United Kingdom	Switzerland	United Kingdom																											
San Pedro, Argentina	1054.045852907232	539.3504136298973	7.483333333333344	0.7372998786864862	12	184.69202893965164	1764.2638625406032	1810.8175083618007	815.1174388576029	350.33987271460234	1718.142038013511	1300.730278001519	454.72273782806	1421.0939804520517	962.9393573116636	742.9250376645273	1122.766094201193																								6.500000000000012	6.033333333333347	7.966666666666674	7.500000000000009	7.000000000000011	8.466666666666672	7.766666666666675	8.500000000000005	7.20000000000001	8.13333333333334	6.933333333333344	7.800000000000008																								California	California	California	California	California	California	Aargau	Aargau	Baden-Württemberg	Aargau	California	California																								United States	United States	United States	United States	United States	United States	Switzerland	Switzerland	Germany	Switzerland	United States	United States																							
Campana, Argentina	1043.5924661249335	228.15407284758476	5.793333333333348	2.1471842026244436	5	802.82600677068	972.5552569386891	1339.710745622016	1285.3663263543312	817.5039949389511																															5.966666666666681	8.566666666666672	5.23333333333335	2.1333333333333613	7.066666666666677																															England	Alberta	Saarland	Saarland	Aargau																															United Kingdom	Canada	Germany	Germany	Switzerland																														
Pamplona, Colombia	1029.59493611267	1757.0238104754112	8.366666666666672	0.19354668031334765	7	5323.790978208188	374.3315643551395	141.21534888963484	347.26203977511227	539.7111895208393	246.88593130649264	233.96750073328482																													8.500000000000005	8.433333333333339	8.166666666666673	8.466666666666672	8.000000000000007	8.400000000000006	8.600000000000005																													Texas	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta																													United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada																												
Valdivia, Chile	1024.4383710775114	945.0149791538454	5.3375000000000155	2.830117660490845	8	213.44599622869865	382.7947710936563	173.81662082774542	3321.98599702482	988.4338569075838	821.1898013372073	1139.203001477181	1154.6369237231984																												1.0333333333333588	6.466666666666679	2.2000000000000277	2.1333333333333613	8.433333333333339	7.633333333333342	8.03333333333334	6.766666666666678																												Michigan	Michigan	Saarland	Saarland	Aargau	Aargau	Aargau	Aargau																												United States	United States	Germany	Germany	Switzerland	Switzerland	Switzerland	Switzerland																											
Salta, Argentina	1016.5491281086297	398.14851286044546	8.300000000000006	0.3339993346633415	5	1663.2896968700081	772.0734102645591	1261.7245235923529	842.6105803559025	543.0474294603262																															7.966666666666674	7.833333333333341	8.500000000000005	8.533333333333339	8.666666666666671																															New Jersey	New South Wales	Aargau	Aargau	Alberta																															United States	Australia	Switzerland	Switzerland	Canada																														
Formosa, Argentina	1016.1952816415184	113.99076693201131	7.816666666666674	0.529937103186153	4	1208.1894007877997	910.3161791753625	983.026039284128	963.2495073187833																																7.400000000000009	7.266666666666676	8.600000000000005	8.000000000000007																																Leinster	Västerbotten	Aargau	Aargau																																Ireland	Sweden	Switzerland	Switzerland																															
Itacoatiara, Amazonas, Brazil	1015.4289628956024	836.8013803814097	7.543589743589752	1.0927409758202893	13	511.1839145347136	337.4477067755096	921.1103886043394	995.0694278473487	1056.532192779073	2388.431959206127	659.6190433780189	483.95361536133737	2544.8420563643053	126.51294401070533	225.9740395218034	497.93479514003644	2451.964434119514																							7.800000000000008	8.300000000000006	8.066666666666674	7.6000000000000085	7.500000000000009	8.600000000000005	7.933333333333341	8.566666666666672	7.666666666666675	7.9000000000000075	7.933333333333341	4.933333333333351	5.2666666666666835																							California	California	Aargau	New York	Aargau	Alberta	Alberta	Alberta	California	California	Aargau	England	England																							United States	United States	Switzerland	United States	Switzerland	Canada	Canada	Canada	United States	United States	Switzerland	United Kingdom	United Kingdom																						
Concepción, Chile	1010.7612087732185	768.3122022341001	7.794444444444452	0.5729768486909398	6	713.5489816516186	2104.654527956352	2033.0779485375692	404.80748725123004	170.9638837076346	637.5144235349064																														7.066666666666677	7.733333333333341	7.066666666666677	8.500000000000005	8.000000000000007	8.400000000000006																														New Jersey	California	California	Alberta	Aargau	Aargau																														United States	United States	United States	Canada	Switzerland	Switzerland																													
Santo Domingo, Dominican Republic	1001.3974099806629	2241.822455543483	6.563636363636376	2.195148670580282	11	55.030479721692224	96.00704457809506	7864.761648055763	2051.691679664118	202.4781797537168	80.1865296002137	110.99470965341882	411.9920107442647	57.673112934955746	71.13821050154331	13.417904579510685																									1.7000000000000275	8.23333333333334	6.500000000000012	2.6000000000000263	6.966666666666677	6.433333333333346	7.9000000000000075	7.1333333333333435	8.066666666666674	8.200000000000006	8.466666666666672																									New Jersey	New South Wales			Stockholm	England	Aargau	Alberta	Aargau	Aargau	Alberta																									United States	Australia	None	None	Sweden	United Kingdom	Switzerland	Canada	Switzerland	Switzerland	Canada																								
Iquitos, Peru	993.5111312184387	220.05065183303913	8.28333333333334	0.2967415635794132	6	685.848490741849	1353.3344046348193	1166.8297574426974	1032.1027797929864	863.6278974652722	859.3234572330075																														7.833333333333341	8.433333333333339	8.500000000000005	7.9000000000000075	8.500000000000005	8.533333333333339																														New South Wales	Aargau	Aargau	Aargau	Aargau	Aargau																														Australia	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																													
Moquegua, Peru	991.3936106285439	222.5514790528929	8.11333333333334	0.31735013961098296	5	1039.920854617723	1320.6767429277718	971.3298063690303	622.1658285067044	1002.8748207214894																															7.700000000000008	7.9000000000000075	8.000000000000007	8.500000000000005	8.466666666666672																															Bogota D.C.	North Carolina	Aargau	Aargau	Aargau																															Colombia	United States	Switzerland	Switzerland	Switzerland																														
Resistencia, Argentina	978.2424525805296	754.330411330453	7.95833333333334	0.3430864808373138	8	127.45512202998178	1235.7395948241458	2638.966546714822	1049.618344847649	396.9999103640746	845.2471617816424	1291.889328739295	240.02361134262586																												7.700000000000008	7.6000000000000085	8.066666666666674	7.533333333333342	8.633333333333338	7.966666666666674	8.266666666666673	7.9000000000000075																												New South Wales	North Carolina	Aargau	California	Aargau	Aargau	Alberta	Aargau																												Australia	United States	Switzerland	United States	Switzerland	Switzerland	Canada	Switzerland																											
San Andrés, Colombia	972.9375655521566	210.9809947605558	8.075000000000006	0.3616128992291176	4	1303.7651193263584	980.1075341002769	879.5446218503586	728.3329869316327																																7.500000000000009	8.366666666666672	8.03333333333334	8.400000000000006																																Alberta	Aargau	Aargau	Aargau																																Canada	Switzerland	Switzerland	Switzerland																															
Piura, Peru	971.0678572580555	248.75280616256214	8.05333333333334	0.5631656555184746	5	708.2727650460313	707.2137815056576	1063.4692956550805	1003.9554770303436	1372.4279670531644																															7.500000000000009	8.700000000000005	7.266666666666676	8.366666666666672	8.433333333333339																															New South Wales	California	England	Aargau	Aargau																															Australia	United States	United Kingdom	Switzerland	Switzerland																														
