citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15
Tshikapa, Congo (Kinshasa)	453.57578772855425	0	8.500000000000005	0	1	453.57578772855425																8.500000000000005																Aargau																Switzerland															
Souk Ahras, Algeria	453.10412380856854	53.902791744803466	6.783333333333346	1.0750968948580053	4	440.25485262383756	495.0609519455541	506.64197366652843	370.458716998354													6.400000000000013	7.20000000000001	5.300000000000017	8.23333333333334													Unknown	Unknown	Unknown	New South Wales													Unknown	Unknown	Unknown	Australia												
Bordj Bou Arreridj, Algeria	452.97947308155005	294.9177874116867	5.33333333333335	2.2093236773073963	4	77.21811876684698	445.1890545267039	902.7211887203615	386.78953031228764													7.700000000000008	3.3666666666666902	2.9000000000000252	7.366666666666676													Aargau	England	England	Aargau													Switzerland	United Kingdom	United Kingdom	Switzerland												
Mbale, Uganda	452.90110604860627	407.7597855669808	6.579166666666679	2.0271036741014323	8	393.1452615925474	456.1624392725467	405.8079922813261	309.66015801438004	143.00010611108019	1496.0978099218605	234.20411072851147	185.13097046659786									5.466666666666683	2.0000000000000284	6.866666666666678	7.4333333333333425	8.600000000000005	5.866666666666681	8.266666666666673	8.13333333333334									Île-de-France	Michigan	California	California	California	Mazovia	California	Aargau									France	United States	United States	United States	United States	Poland	United States	Switzerland								
Douala, Cameroon	452.8858574365879	736.6533937132904	7.574074074074082	0.6625386599999353	9	166.7318298838203	34.434549397896426	118.3895788322606	2318.9424328567843	55.72046910898815	13.282454860529112	1130.307213646026	127.51947055104246	110.64471779194405								8.13333333333334	8.000000000000007	8.433333333333339	7.30000000000001	7.833333333333341	7.633333333333342	6.000000000000014	7.266666666666676	7.566666666666675								California	New York	California	Aargau	Aargau	Aargau	North Carolina	Aargau	Aargau								United States	United States	United States	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland							
Kinshasa, Congo (Kinshasa)	450.7595005538745	455.9616005344744	7.633333333333342	0.5642103626603566	8	50.558893644699815	136.25865586342795	544.4883382529156	135.07581423598197	1209.536487744373	1190.6348617377764	255.25244659028857	84.27050636153326									8.03333333333334	7.866666666666674	7.1333333333333435	6.500000000000012	7.466666666666676	7.566666666666675	8.300000000000006	8.200000000000006									New South Wales	California	California	California	Aargau	North Carolina	Aargau	Aargau									Australia	United States	United States	United States	Switzerland	United States	Switzerland	Switzerland								
Al Manāqil, Sudan	445.80944785904956	24.768522678182137	6.300000000000013	1.3333333333333286	2	470.5779705372317	421.0409251808674															4.9666666666666845	7.633333333333342															California	Aargau															United States	Switzerland														
Soubré, Côte D’Ivoire	445.1736842773142	573.2524257529923	8.100000000000007	0.13944333775567877	4	1425.875793905985	264.5235646065181	48.36387040208903	41.931508194664595													7.866666666666674	8.13333333333334	8.23333333333334	8.166666666666673													Aargau	Aargau	Aargau	Aargau													Switzerland	Switzerland	Switzerland	Switzerland												
Thiès, Senegal	444.89962263001024	365.21145333569166	6.050000000000014	1.9245730647292805	6	94.88818264365	545.8764920661761	213.92656533599663	260.01165178349675	1201.0199984210994	353.6748455296424											2.566666666666693	5.366666666666683	8.200000000000006	8.266666666666673	6.133333333333347	5.766666666666682											Île-de-France	Michigan	Aargau	Aargau	England	England											France	United States	Switzerland	Switzerland	United Kingdom	United Kingdom										
Gharyān, Libya	442.8579261226377	201.9186337208862	7.6000000000000085	0.49516177678126916	3	323.9529114996065	277.4707125468361	727.1501543214704														7.933333333333341	7.966666666666674	6.900000000000011														Aargau	Aargau	Aargau														Switzerland	Switzerland	Switzerland													
Jalingo, Nigeria	438.6654859087441	138.2202656474032	8.33333333333334	0.09999999999999964	2	576.8857515561473	300.44522026134086															8.23333333333334	8.433333333333339															Aargau	Aargau															Switzerland	Switzerland														
Mombasa, Kenya	438.57874262150244	244.65156118400145	6.437037037037049	1.3154771414735251	9	649.6515791070459	615.463898842012	609.6263985964968	640.5305095884182	410.2215131731764	683.0318677455261	53.94545025953053	208.78630629617112	75.95115998514511								4.666666666666686	4.100000000000021	7.9000000000000075	7.1333333333333435	7.000000000000011	5.800000000000015	7.533333333333342	7.9000000000000075	5.900000000000015								Île-de-France	Michigan	California	North Carolina	California	California	Aargau	Aargau	Aargau								France	United States	United States	United States	United States	United States	Switzerland	Switzerland	Switzerland							
Madent Atbara, Sudan	438.20705735073363	0	8.066666666666674	0	1	438.20705735073363																8.066666666666674																Aargau																Switzerland															
Gweru, Zimbabwe	429.8976207925211	400.243343145845	7.445833333333343	1.2150602980007896	8	276.4453347079213	390.602687991046	1397.2855441545146	546.8312847690075	478.93759496500536	147.6506730466167	164.59359960398888	36.834247102068154									4.9666666666666845	6.766666666666678	6.333333333333346	7.9000000000000075	8.366666666666672	8.566666666666672	8.533333333333339	8.13333333333334									California	Aargau	North Carolina	Aargau	Aargau	Aargau	Aargau	Aargau									United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland								
An Nuhūd, Sudan	429.7057978422619	165.34106313355483	6.744444444444455	2.003946723128081	6	150.6338517367571	383.79243686807143	463.677942419929	443.8102010244633	419.2566116627534	717.0637433415969											8.766666666666671	6.766666666666678	8.23333333333334	8.300000000000006	5.300000000000017	3.1000000000000245											California	North Carolina	Aargau	Aargau	England	England											United States	United States	Switzerland	Switzerland	United Kingdom	United Kingdom										
Ndola, Zambia	428.7828262988614	294.73149692590187	7.250000000000011	1.4123463534920209	4	926.3545796172475	156.0364004955254	305.76015109508376	326.98017398758884													4.866666666666685	8.03333333333334	7.6000000000000085	8.500000000000005													North Carolina	Ontario	Aargau	Aargau													United States	Canada	Switzerland	Switzerland												
El Oued, Algeria	428.64394392964584	123.0266553691554	8.09583333333334	0.6031025110948273	8	409.7049867667654	431.9268309661908	334.65736198181133	327.5766018786591	359.65993876807784	547.7302938212453	695.8021993595539	322.093337894863									7.766666666666675	8.533333333333339	8.533333333333339	8.100000000000007	6.633333333333345	8.400000000000006	8.366666666666672	8.433333333333339									New South Wales	California	New York	Aargau	Pennsylvania	Aargau	Aargau	Aargau									Australia	United States	United States	Switzerland	United States	Switzerland	Switzerland	Switzerland								
