citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38
Ardabīl, Iran	473.64528570097855	284.52994438878505	7.07500000000001	1.2329672880224043	12	204.37990543266923	1134.6585652120777	915.0130490013847	401.7005559031735	750.5275853960381	333.63784834941094	431.6201889857791	337.1349821605136	367.7393587034338	308.8622271445261	305.3888824110908	193.08027971164364																												4.633333333333352	5.500000000000016	6.033333333333347	7.633333333333342	6.066666666666681	8.400000000000006	8.100000000000007	6.6666666666666785	8.500000000000005	8.400000000000006	7.10000000000001	7.866666666666674																												Michigan	Michigan	Aargau	Aargau	Georgia	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																												United States	United States	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																											
Nagasaki, Japan	473.5042379113311	262.64319811784037	7.838596491228078	0.7042280961802598	19	893.2133585425469	536.1655891551192	96.39931485221503	257.3678481655716	620.7818403560098	783.147231864677	550.5678830805836	593.007124435245	585.1991015392687	818.585686470942	589.5626438028654	93.76844242549626	59.89721247211184	33.69003663999855	490.13169480842294	183.34531612639412	645.8553072073505	660.3773896815976	505.5174986888716																					8.433333333333339	8.466666666666672	7.30000000000001	7.166666666666677	7.000000000000011	7.833333333333341	7.866666666666674	8.266666666666673	7.700000000000008	7.766666666666675	8.200000000000006	8.23333333333334	7.933333333333341	7.9000000000000075	8.200000000000006	8.300000000000006	5.466666666666683	8.400000000000006	8.500000000000005																					California	California	England	Central and Western	Aargau	Aargau	Aargau	Aargau	Aargau	North Carolina	Aargau	Aargau	Aargau	Aargau	California	Aargau	Hesse	Aargau	Aargau																					United States	United States	United Kingdom	Hong Kong	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Germany	Switzerland	Switzerland																				
Rangoon, Burma	473.2824422686725	908.7127326797056	6.735714285714296	2.0163011981204417	14	401.5675882950286	577.4633348989894	61.32895747491989	19.605378082139126	530.5923943935302	3579.021194382909	1037.835408850455	56.71006783157972	81.12921957570103	78.75930528814264	81.12921957570103	77.34635738099807	31.005857830670465	12.459907900649224																										6.400000000000013	5.500000000000016	8.166666666666673	8.266666666666673	7.166666666666677	5.666666666666682	0.5333333333333588	7.866666666666674	7.766666666666675	8.300000000000006	5.166666666666684	7.500000000000009	8.166666666666673	7.833333333333341																										England	Aargau	Aargau	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Liuzhou, Guangxi, China	472.38839472678904	452.64622511981	7.597916666666675	0.6967652193051329	16	2048.6055450520066	806.4028935752991	394.6450167761207	388.2789798331209	789.7787115407375	298.98390422552444	426.362419140655	344.6733791149204	296.38615005179054	582.0911371757471	247.35077698125681	206.44108522957362	183.13048289975467	275.5224829448017	185.14020899186465	84.42114209545042																								6.000000000000014	7.400000000000009	8.533333333333339	7.566666666666675	7.500000000000009	8.000000000000007	8.300000000000006	7.366666666666676	7.266666666666676	6.000000000000014	7.6000000000000085	8.03333333333334	7.833333333333341	8.066666666666674	7.9000000000000075	8.200000000000006																								Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																								Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																							
Quảng Hà, Vietnam	471.73889687697385	1162.9101962250659	7.625641025641034	0.8991119879436039	13	127.89701613223453	41.56241146843847	86.61380216772727	89.75377229529002	4479.754714499268	48.92901913197249	307.4251320436393	48.92901913197249	36.667820094303025	80.89118199926335	62.23638608413319	351.9445397365128	370.000844615905																											8.633333333333338	8.066666666666674	7.766666666666675	7.400000000000009	4.766666666666685	7.933333333333341	7.30000000000001	7.9000000000000075	8.13333333333334	7.800000000000008	7.333333333333343	7.9000000000000075	8.200000000000006																											New York	California	Aargau	Aargau	Florida	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																											United States	United States	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
Zigong, Sichuan, China	470.7714006206336	574.8554832251582	7.777777777777786	0.9649409884086718	9	61.46436070449531	43.09651587980402	51.34799456273443	32.80885162505809	74.2930763807614	145.19810559169392	1391.1457354496006	1103.4538841118133	1334.1340812797405																															7.966666666666674	7.700000000000008	8.23333333333334	8.066666666666674	8.366666666666672	8.400000000000006	7.633333333333342	5.166666666666684	8.466666666666672																															Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California	Colorado	Colorado																															Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	United States																														
Kolkata, West Bengal, India	470.22020326581037	591.0260095938313	6.6098039215686395	1.0638298494032519	17	100.14538013655236	96.24983807493895	1186.973404677783	254.01546281821317	146.728880594346	124.46941804219674	31.876223065188547	96.30474596646745	1574.710262761943	1392.7700133850592	33.60549853195354	1329.039576559182	1395.5121088268809	37.150757123007004	53.05218038614233	135.6796111657666	5.460093403156253																							5.633333333333349	6.133333333333347	7.000000000000011	6.866666666666678	6.066666666666681	7.033333333333344	8.166666666666673	7.266666666666676	5.100000000000017	5.033333333333351	7.800000000000008	5.33333333333335	4.900000000000018	7.066666666666677	7.233333333333343	7.766666666666675	7.966666666666674																							Michigan	Michigan	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Arizona	California	Aargau	England	England	Aargau	Aargau	Aargau	Aargau																							United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	United States	United States	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland																						
Shaoxing, Zhejiang, China	467.9041893323457	358.83214748229767	7.540740740740749	0.622574855983722	9	720.927422177153	619.5294881932306	1264.1429952773735	389.9735447101967	234.95433682095384	601.0078586430077	62.630908304553095	110.64248859516229	207.32866126948056																															7.866666666666674	8.000000000000007	7.466666666666676	7.166666666666677	7.9000000000000075	6.033333333333347	8.266666666666673	7.366666666666676	7.800000000000008																															Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau																															Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland																														
Linyi, Shandong, China	467.50596104099066	422.7479300858639	7.724444444444453	0.6378745571170567	15	101.6290364644	830.6630228696656	1007.0838051357032	989.9803405456155	417.2851695680028	482.6170022020348	376.1738158464679	270.18381733816784	187.64935822514013	171.35972670662426	139.95334448758953	140.7063693878958	160.65109031274525	159.3659384423824	1577.2875780824245																									7.400000000000009	7.10000000000001	6.2000000000000135	7.866666666666674	7.266666666666676	8.03333333333334	8.33333333333334	6.900000000000011	8.300000000000006	8.266666666666673	7.266666666666676	8.200000000000006	8.100000000000007	8.266666666666673	8.366666666666672																									Pennsylvania	Pennsylvania	Aargau	Aargau	Aargau	Alberta	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California																									United States	United States	Switzerland	Switzerland	Switzerland	Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States																								
Zhanjiang, Guangdong, China	467.23294991394886	259.73850685361606	7.846666666666676	0.5621783030715808	10	1205.4307758718078	439.27148181836816	541.3937134444465	298.310898687087	207.50712785968628	382.6186415763262	366.40269102413663	426.12555789531774	396.7625548185373	408.5060561437761																														7.966666666666674	7.6000000000000085	7.866666666666674	7.933333333333341	6.26666666666668	8.166666666666673	8.200000000000006	8.066666666666674	8.366666666666672	8.03333333333334																														Massachusetts	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California																														United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States																													
Kota, Rājasthān, India	466.646211625543	400.6325301100884	7.416666666666676	0.7245962203459791	14	460.8283050214889	401.28818023453397	1359.4831793777334	1148.544050142082	368.1908081756797	230.25523431977305	341.94097122510357	1091.5337279634261	182.64111894302127	145.8092938256115	57.86721357091757	335.9837765238531	161.5897664478111	247.09133698656743																										6.033333333333347	7.166666666666677	6.700000000000012	6.600000000000012	8.100000000000007	8.266666666666673	7.800000000000008	7.233333333333343	7.533333333333342	8.33333333333334	6.600000000000012	8.300000000000006	8.066666666666674	7.10000000000001																										Ontario	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	Florida	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Kunming, Yunnan, China	465.8151609932106	540.3741947945304	6.787301587301598	1.3165401261465914	21	825.3145787416491	1513.4544919763248	1383.399486936563	611.7339596247213	150.16835178464962	1649.3999531191457	1499.9867563606115	149.20673053102578	292.50572327047774	244.84670581077575	302.15896202455394	267.75983183568457	88.61334562740463	59.12728086471149	78.481579274832	93.78813176471773	39.834178308966685	75.88239971862151	114.36810059057234	173.04739206148085	169.0404406299337																			5.800000000000015	7.366666666666676	5.666666666666682	5.833333333333348	6.466666666666679	2.100000000000028	6.900000000000011	7.266666666666676	5.43333333333335	7.400000000000009	6.866666666666678	6.2000000000000135	7.066666666666677	7.700000000000008	7.633333333333342	7.933333333333341	7.9000000000000075	7.766666666666675	8.03333333333334	7.733333333333341	7.466666666666676																			New York	Aargau	Aargau	Aargau	Aargau	California	Aargau	California	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																			United States	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																		
Gorakhpur, Uttar Pradesh, India	465.6928825087384	176.9234397936858	7.891666666666675	0.20598678490513717	8	640.7126390525527	430.83686165845654	532.246467559446	365.5176076089724	338.62990320039603	158.92956848776382	487.3883881737647	771.2816243285548																																7.766666666666675	7.866666666666674	7.933333333333341	7.733333333333341	8.000000000000007	8.366666666666672	7.800000000000008	7.666666666666675																																Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Baden-Württemberg																																Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Germany																															
Quetta, Pakistan	464.26357520997993	470.17907576127834	7.2680555555555655	1.224347111225171	24	176.52811506504023	1096.1085328135866	225.2469967537056	621.1178132375298	589.3921099957341	524.8189468937144	636.3717202376105	121.43779102993413	618.846631622265	244.30073978960638	266.5344449022442	317.4553902540953	447.1812051679494	388.5606135609832	356.17833251131856	122.83925949497832	2433.8802862557495	439.28741017084894	215.167706268883	472.81137378233086	297.18113912489497	75.08767426339395	421.7149606332928	34.27661120982523																8.000000000000007	7.066666666666677	2.8000000000000256	4.900000000000018	8.400000000000006	8.433333333333339	8.166666666666673	8.13333333333334	7.533333333333342	6.133333333333347	7.166666666666677	7.20000000000001	8.266666666666673	6.800000000000011	6.766666666666678	7.933333333333341	6.866666666666678	7.333333333333343	7.466666666666676	7.366666666666676	7.6000000000000085	8.03333333333334	7.666666666666675	8.400000000000006																New York	California	Michigan	Michigan	Aargau	Aargau	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	England	England	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																United States	United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland															
Jalālābād, Afghanistan	464.0718405328612	699.822908913706	6.827536231884069	1.0302034025470943	23	218.1296632181456	197.50511935403253	288.60076492034466	2373.756818907256	385.60009235210964	324.4568702025533	289.35731408010054	541.5091725945316	525.8274054678552	190.01090081356818	148.0028690592369	79.98919327000668	105.8655201009197	301.1523128230055	125.1613624423428	272.3349663424162	62.427810514109446	2983.6117890577752	160.42326296067108	381.209375440312	255.0640339741082	236.69155775355284	226.96415660685489																	6.533333333333346	7.700000000000008	7.866666666666674	5.300000000000017	4.466666666666686	6.066666666666681	5.2666666666666835	6.300000000000013	6.700000000000012	8.066666666666674	7.966666666666674	7.666666666666675	6.6666666666666785	7.500000000000009	7.566666666666675	6.966666666666677	5.800000000000015	5.43333333333335	6.966666666666677	6.700000000000012	7.4333333333333425	8.433333333333339	7.666666666666675																	Stockholm	California	California	Aargau	Aargau	Aargau	Scotland	New South Wales	Île-de-France	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Colorado	Colorado	Aargau	Aargau	Aargau	Aargau																	Sweden	United States	United States	Switzerland	Switzerland	Switzerland	United Kingdom	Australia	France	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland																
Sūrat, Gujarāt, India	463.7292780681511	436.9159452723757	7.784210526315797	0.543044097059514	19	809.0951328207608	874.7079450908326	337.43723907834004	1105.8664326941944	1397.392013688117	260.5091847784766	873.8695160291051	223.5796480835881	258.80875626153346	239.09916333139577	65.00101891819246	154.619209129158	1352.965420433287	81.91288408690093	105.75379733608051	230.64279488082065	191.70587065014658	143.24590826981625	104.6443477341221																					8.666666666666671	8.13333333333334	8.200000000000006	8.633333333333338	8.166666666666673	7.4333333333333425	8.03333333333334	7.966666666666674	7.766666666666675	7.233333333333343	7.666666666666675	7.9000000000000075	6.466666666666679	7.266666666666676	7.833333333333341	7.033333333333344	7.333333333333343	7.800000000000008	8.366666666666672																					Aargau	Aargau	Aargau	Aargau	California	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																					Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																				
Bareilly, Uttar Pradesh, India	463.25877850665	610.730404713895	7.505555555555564	0.6477644366836572	12	350.6187981222016	193.55025336579035	377.71436297793457	2162.796855476055	31.25827712776523	920.2241912932625	92.40445855712217	65.42216712053903	66.72112554816349	41.398793739221	173.71409363517597	1083.2819651165687																												6.700000000000012	6.900000000000011	8.100000000000007	6.833333333333345	7.6000000000000085	6.400000000000013	7.833333333333341	7.10000000000001	7.966666666666674	8.166666666666673	8.200000000000006	8.266666666666673																												New York	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California	Ontario																												United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Canada																											
An Najaf, Iraq	463.05143263036865	374.4534770213068	7.312698412698423	1.2283027473729018	21	158.77398624736418	800.8621712586075	377.2106838367198	550.3492913223323	115.04813576242677	43.10180015257343	74.89858297225152	394.10625286306083	571.941432502201	307.74282576785913	348.8974540152038	262.35178104096883	1863.785836703318	739.0848380714943	353.78837416763093	372.21389446578235	242.44353348370396	456.0313069781721	720.619008708868	429.89773850400815	540.9311564131938																			7.066666666666677	6.36666666666668	6.766666666666678	6.466666666666679	8.533333333333339	8.400000000000006	7.4333333333333425	4.0333333333333545	7.366666666666676	8.000000000000007	8.700000000000005	7.033333333333344	4.766666666666685	8.066666666666674	8.266666666666673	8.266666666666673	8.166666666666673	8.066666666666674	8.366666666666672	5.766666666666682	7.666666666666675																			Thuringia	California	Aargau	Aargau	California	California	Aargau	England	Aargau	Alberta	Alberta	Arizona	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																			Germany	United States	Switzerland	Switzerland	United States	United States	Switzerland	United Kingdom	Switzerland	Canada	Canada	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																		
Shangqiu, Henan, China	462.37125233595833	220.3040702433157	6.586111111111123	1.5288253983910052	12	636.4825775269381	677.3240218740891	269.4256385031181	281.80114723959747	705.9797905974418	429.36675066661127	833.7304389626388	397.0235782124059	202.73105001458248	676.6543274256826	190.5029642656929	247.4327427427016																												6.400000000000013	6.766666666666678	6.700000000000012	7.10000000000001	6.300000000000013	7.466666666666676	4.40000000000002	8.23333333333334	7.766666666666675	6.966666666666677	8.23333333333334	2.700000000000026																												Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Virginia	Alberta	Aargau	Aargau	Aargau	California																												Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Canada	Switzerland	Switzerland	Switzerland	United States																											
Dalian, Liaoning, China	462.0967601230365	675.5075878009021	7.294444444444455	0.6238817156013835	12	218.21765634568777	229.66555695670615	174.134621572508	96.04069762263687	268.37069953155003	17.578279633623673	622.5894775935079	2046.0770512149256	8.873088796210986	1802.748242906635	29.422190958875802	31.44355834356959																												8.366666666666672	7.933333333333341	7.566666666666675	6.6666666666666785	7.10000000000001	6.533333333333346	7.566666666666675	7.10000000000001	7.166666666666677	6.133333333333347	7.366666666666676	8.03333333333334																												California	Aargau	Aargau	Aargau	Aargau	Aargau	England	England	Aargau	Hesse	Aargau	Aargau																												United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Germany	Switzerland	Switzerland																											
Xinpu, Jiangsu, China	461.824774609455	347.50116581651076	7.28095238095239	0.8070831555389096	21	366.99281783236887	780.3835954706224	1514.4369774696388	533.6582193315113	503.9300476685206	771.6187302465368	365.6630322028904	387.83807145778184	391.67853711519695	596.9646460706678	620.4011240861628	57.81095225048782	191.20007123300732	636.6067628370329	90.46327270458832	61.723125841396616	97.98555036195238	101.40753605814535	176.57152883393908	497.69693768183924	953.2887300442668																			6.066666666666681	7.400000000000009	5.000000000000018	7.533333333333342	7.333333333333343	6.400000000000013	8.066666666666674	6.900000000000011	7.533333333333342	8.200000000000006	7.400000000000009	7.733333333333341	7.866666666666674	7.800000000000008	8.066666666666674	8.200000000000006	6.933333333333344	8.000000000000007	7.033333333333344	6.066666666666681	7.366666666666676																			California	Aargau	Virginia	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California	Aargau	California	Aargau	Aargau	Aargau	Aargau	North Rhine-Westphalia	California	Alberta																			United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Germany	United States	Canada																		
Xinyu, Jiangxi, China	461.46408630869877	322.5501959586684	6.110256410256424	1.8644393587049015	13	712.3319865512302	278.86612809889857	274.75988618204707	865.3139569327224	296.2169454007762	489.5254090334756	1243.4909162190584	211.3790039282152	66.85696622637462	294.7782604477778	614.7974702438163	562.0118137362305	88.70437901246125																											1.8666666666666947	6.733333333333345	7.833333333333341	4.8000000000000185	6.566666666666679	4.3333333333333535	3.800000000000022	8.03333333333334	6.866666666666678	8.100000000000007	7.400000000000009	5.300000000000017	7.800000000000008																											North Holland	North Holland	Aargau	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																											Netherlands	Netherlands	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
Lhasa, Tibet, China	460.40482600711397	496.42788887940765	6.8102564102564225	1.0726104123338234	13	330.69069528067854	339.5098179558762	286.933333636991	381.9439975159888	260.18293041774297	79.69061833615281	1298.601790682985	1842.3227887280048	207.047687397266	48.10273590746724	384.6080469692546	364.60544454022283	161.02285072385266																											4.5000000000000195	6.433333333333346	7.866666666666674	7.566666666666675	7.566666666666675	6.733333333333345	6.566666666666679	5.23333333333335	6.16666666666668	7.10000000000001	6.36666666666668	8.300000000000006	8.13333333333334																											Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau																											Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
Mazār-e Sharīf, Afghanistan	460.1515401306426	664.3122974831958	6.052173913043491	1.7168622679320897	23	275.1678807193032	234.48646154647975	214.28677432508064	265.1102561624339	185.12100384247435	199.22401452442566	160.98588860840061	457.0755080851358	249.32268566444398	145.33828895121422	137.74193937462277	856.8192701703889	1441.437846613411	210.47746785998964	344.88691122159435	3270.4438948348243	583.2187752576457	295.4323107000966	253.08633181066668	41.78972156563727	292.10320708325264	201.03370632144953	268.8952777618086																	4.9666666666666845	6.2000000000000135	7.700000000000008	7.9000000000000075	7.500000000000009	7.500000000000009	7.533333333333342	6.033333333333347	4.366666666666687	5.000000000000018	4.166666666666687	6.700000000000012	7.633333333333342	7.10000000000001	2.5000000000000266	3.0666666666666913	3.3666666666666902	5.23333333333335	4.733333333333352	6.000000000000014	8.100000000000007	7.9000000000000075	8.000000000000007																	Aargau	Aargau	Aargau	California	Aargau	Aargau	Massachusetts	Massachusetts	Virginia	New Jersey	Ontario	California	Texas	Mazovia			Thuringia			Thuringia	Aargau	Aargau	Aargau																	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	United States	United States	United States	United States	Canada	United States	United States	Poland	None	None	Germany	None	None	Germany	Switzerland	Switzerland	Switzerland																
Zaozhuang, Shandong, China	459.88818726204494	382.7297155734315	7.389473684210536	0.829080561099375	19	756.7592906186862	140.19880914283178	984.809363125945	602.40996914961	323.36493105509766	1180.7289334086931	655.1121946047351	281.7969481756839	306.08346780021674	296.4182432808804	531.9015082995795	144.95115392171823	127.57226636752864	186.29325413076617	209.00108671867787	1471.618546916911	311.4115255191121	96.3479244916018	131.09614125058107																					7.4333333333333425	7.233333333333343	8.200000000000006	6.400000000000013	6.700000000000012	6.833333333333345	7.533333333333342	7.9000000000000075	7.566666666666675	8.000000000000007	8.600000000000005	5.633333333333349	7.466666666666676	8.13333333333334	7.933333333333341	5.600000000000016	6.966666666666677	8.266666666666673	8.000000000000007																					New York	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Hesse	Aargau	Aargau	Aargau																					United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Germany	Switzerland	Switzerland	Switzerland																				
Jabalpur, Madhya Pradesh, India	459.16316338633806	178.6604709321164	7.715151515151524	0.3072733249650503	11	261.18281469021696	435.4167523914811	335.63029620713195	422.88514426070725	538.0391773895635	574.3060305321293	732.7086555434371	749.122409879364	123.78491313974564	478.18332397225197	399.5352792436897																													7.000000000000011	7.533333333333342	7.533333333333342	8.266666666666673	7.866666666666674	7.566666666666675	7.733333333333341	7.733333333333341	7.966666666666674	7.733333333333341	7.933333333333341																													Västerbotten	Aargau	Aargau	Alberta	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																													Sweden	Switzerland	Switzerland	Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																												
Samsun, Turkey	458.68734722642057	363.4010089179208	7.2130952380952476	1.2004079758107298	28	191.96163480708736	534.553672619282	78.35250745227816	388.7223879173356	534.9220864954051	652.7220708089285	585.8951741342705	306.70141644079735	789.2716197246157	523.5792884851882	524.9575446139227	652.7891274628736	97.13497911839875	524.1286040509057	128.80175693842565	711.4305463646551	765.6147959088848	68.74425383602272	73.27981327679714	25.487081633730988	184.96493648526413	427.8879979574256	1929.3683141113029	481.6002596658995	586.8640388025195	235.94369938187168	549.6201915840959	287.94592226159136												8.23333333333334	6.26666666666668	7.500000000000009	7.1333333333333435	7.633333333333342	7.20000000000001	8.200000000000006	1.5666666666666937	7.700000000000008	7.333333333333343	7.20000000000001	7.633333333333342	7.366666666666676	6.833333333333345	7.666666666666675	8.466666666666672	7.266666666666676	7.400000000000009	6.566666666666679	7.633333333333342	7.033333333333344	7.20000000000001	7.233333333333343	6.933333333333344	6.866666666666678	7.533333333333342	8.366666666666672	8.000000000000007												Texas	Île-de-France	Thuringia	England	Tokyo	Stockholm	Harjumaa	Andalusia	Leinster	Aargau	England	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Colorado	Colorado	Aargau	Aargau	Aargau	Aargau												United States	France	Germany	United Kingdom	Japan	Sweden	Estonia	Spain	Ireland	Switzerland	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland											
Taiyuan, Shanxi, China	457.67473034009674	307.61024081279254	7.476923076923086	0.9067066936285784	13	346.27338541219405	163.38720535778532	994.1352408798768	156.9549197440192	284.9693341357422	527.4688851320607	745.2062220688473	60.536830634953304	1010.1807520509809	206.52516880100998	706.9773859760882	502.3191623913814	244.83700183631728																											8.566666666666672	7.4333333333333425	7.266666666666676	8.300000000000006	7.166666666666677	5.300000000000017	6.2000000000000135	7.9000000000000075	6.766666666666678	8.200000000000006	8.13333333333334	8.266666666666673	7.700000000000008																											Alberta	Aargau	Aargau	Alberta	Aargau	Ontario	Ontario	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																											Canada	Switzerland	Switzerland	Canada	Switzerland	Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
