citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19
Caloundra, Queensland, Australia	475.1837366558416	248.35204595992255	8.019047619047626	0.32113743428737723	7	525.9313516748226	776.8807057052178	239.7430629612103	303.69673622315844	843.33659336031	503.5295762270938	133.16813043907783														7.866666666666674	8.000000000000007	7.500000000000009	8.433333333333339	7.966666666666674	8.500000000000005	7.866666666666674														Victoria	New South Wales	California	California	Aargau	California	Aargau														Australia	Australia	United States	United States	Switzerland	United States	Switzerland													
Rotorua, New Zealand	466.69943480733514	434.1268862640014	7.575000000000008	0.5062800059694661	4	97.42739195155787	533.8410027428185	1150.3777446716495	85.1515998633148																	6.866666666666678	7.966666666666674	7.333333333333343	8.13333333333334																	Victoria	New South Wales	Aargau	Aargau																	Australia	Australia	Switzerland	Switzerland																
Gympie, Queensland, Australia	465.4051761605762	292.0098758281378	5.841666666666682	0.6179603547154116	4	868.925444105255	460.49698677955865	43.859875303420615	488.3383984540706																	6.6666666666666785	5.666666666666682	4.9666666666666845	6.066666666666681																	California	California	California	Victoria																	United States	United States	United States	Australia																
Kluang, Malaysia	456.77137263338716	429.47109562712603	7.308333333333343	0.7822243923580979	4	235.83102975446673	93.95916844247618	1188.5060547443331	308.7892375922724																	6.500000000000012	7.800000000000008	8.33333333333334	6.600000000000012																	Victoria	New York	California	Victoria																	Australia	United States	United States	Australia																
Whyalla, South Australia, Australia	455.89435099154366	361.6044948741689	7.280555555555566	0.7568769083021252	12	200.03317051519127	113.33249474980576	169.32086226941246	1255.5151027380948	738.7809199268112	976.4445659527821	198.48853224890735	744.6465777782566	171.0037311714652	220.25104099218987	366.43295093349207	316.4822626221157									7.033333333333344	6.433333333333346	7.633333333333342	7.866666666666674	8.466666666666672	7.033333333333344	5.43333333333335	7.266666666666676	7.10000000000001	7.633333333333342	7.4333333333333425	8.03333333333334									California	Île-de-France	California	California	Pennsylvania	Victoria	Ontario	Ontario	England	New York	Oklahoma	Aargau									United States	France	United States	United States	United States	Australia	Canada	Canada	United Kingdom	United States	United States	Switzerland								
Lismore, New South Wales, Australia	451.6798182657467	252.9213209642325	7.3111111111111216	0.7892800282301324	9	608.2769399381369	3.652195933322345	550.8238644261656	327.09857398682846	67.52876469817309	442.3614278940769	762.5706017363018	628.7019668609692	674.104028917746												7.033333333333344	5.766666666666682	8.23333333333334	7.733333333333341	7.366666666666676	6.933333333333344	6.500000000000012	8.200000000000006	8.03333333333334												Île-de-France	Île-de-France	Victoria	California	California	California	California	California	Aargau												France	France	Australia	United States	United States	United States	United States	United States	Switzerland											
Busselton, Western Australia, Australia	451.5818852047058	251.25642402437708	7.566666666666675	0.06666666666666643	2	200.32546118032874	702.8383092290829																			7.500000000000009	7.633333333333342																			Île-de-France	North Carolina																			France	United States																		
Tokoroa, New Zealand	443.32650860372615	266.97725301401886	7.723809523809531	0.6194504184046333	7	786.834270195857	456.2047400453463	162.43285171467988	741.0655860414038	90.56315742718303	643.5363972853087	222.648557516304														7.30000000000001	6.800000000000011	8.066666666666674	8.200000000000006	7.000000000000011	8.366666666666672	8.33333333333334														Île-de-France	Victoria	New South Wales	California	California	California	Aargau														France	Australia	Australia	United States	United States	United States	Switzerland													
Maryborough, Queensland, Australia	430.9371796288377	193.76044370066623	7.060000000000011	0.8590433956183764	5	464.10037828412027	650.9423474188601	359.96227425530697	98.40846043507648	581.2724377508251																7.733333333333341	6.066666666666681	5.966666666666681	7.933333333333341	7.6000000000000085																Victoria	Victoria	North Carolina	Aargau	North Carolina																Australia	Australia	United States	Switzerland	United States															
Jayapura, Papua, Indonesia	422.67903098304026	0	7.366666666666676	0	1	422.67903098304026																				7.366666666666676																				Aargau																				Switzerland																			
Cambridge, New Zealand	402.2453783012559	130.87842373500078	7.066666666666677	0.9568466729604849	3	466.0908674499868	520.7771379318398	219.86812952194126																		5.7333333333333485	7.933333333333341	7.533333333333342																		Queensland	Aargau	North Carolina																		Australia	Switzerland	United States																	
