citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	dists39	dists40	dists41	dists42	dists43	dists44	dists45	dists46	dists47	dists48	dists49	dists50	dists51	dists52	dists53	dists54	dists55	dists56	dists57	dists58	dists59	dists60	dists61	dists62	dists63	dists64	dists65	dists66	dists67	dists68	dists69	dists70	dists71	dists72	dists73	dists74	dists75	dists76	dists77	dists78	dists79	dists80	dists81	dists82	dists83	dists84	dists85	dists86	dists87	dists88	dists89	dists90	dists91	dists92	dists93	dists94	dists95	dists96	dists97	dists98	dists99	dists100	dists101	dists102	dists103	dists104	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	times39	times40	times41	times42	times43	times44	times45	times46	times47	times48	times49	times50	times51	times52	times53	times54	times55	times56	times57	times58	times59	times60	times61	times62	times63	times64	times65	times66	times67	times68	times69	times70	times71	times72	times73	times74	times75	times76	times77	times78	times79	times80	times81	times82	times83	times84	times85	times86	times87	times88	times89	times90	times91	times92	times93	times94	times95	times96	times97	times98	times99	times100	times101	times102	times103	times104	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	region39	region40	region41	region42	region43	region44	region45	region46	region47	region48	region49	region50	region51	region52	region53	region54	region55	region56	region57	region58	region59	region60	region61	region62	region63	region64	region65	region66	region67	region68	region69	region70	region71	region72	region73	region74	region75	region76	region77	region78	region79	region80	region81	region82	region83	region84	region85	region86	region87	region88	region89	region90	region91	region92	region93	region94	region95	region96	region97	region98	region99	region100	region101	region102	region103	region104	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38	country39	country40	country41	country42	country43	country44	country45	country46	country47	country48	country49	country50	country51	country52	country53	country54	country55	country56	country57	country58	country59	country60	country61	country62	country63	country64	country65	country66	country67	country68	country69	country70	country71	country72	country73	country74	country75	country76	country77	country78	country79	country80	country81	country82	country83	country84	country85	country86	country87	country88	country89	country90	country91	country92	country93	country94	country95	country96	country97	country98	country99	country100	country101	country102	country103	country104
Yoho, Nat’l Park, Canada	1072.713346835681	646.6126373863925	6.4388888888889015	1.5246634925228855	6	1635.2779228830225	1797.5249402672187	180.64754737366914	1420.9019709167549	1187.4844470634503	214.44325250996977																																																																																																				4.533333333333353	7.266666666666676	7.333333333333343	8.000000000000007	4.100000000000021	7.400000000000009																																																																																																				Florida	England	Alberta	California	California	Ontario																																																																																																				United States	United Kingdom	Canada	United States	United States	Canada																																																																																																			
Machu Picchu	1070.187471211064	1505.1897278867693	7.126666666666677	0.6350503042191902	5	196.82963860527843	217.1059893182599	158.24712817255758	727.2521740876158	4051.5024258716076																																																																																																					8.03333333333334	7.500000000000009	6.866666666666678	6.133333333333347	7.10000000000001																																																																																																					Alberta	Ontario	Aargau	South Carolina	Île-de-France																																																																																																					Canada	Canada	Switzerland	United States	France																																																																																																				
Crater Lake, Nat’l Park, United States	1055.3146919095268	743.1122572520239	6.988888888888899	0.5775640630385325	3	1165.7725660341055	95.00397188494253	1905.167537809532																																																																																																							6.500000000000012	7.800000000000008	6.6666666666666785																																																																																																							Aargau	California	Aargau																																																																																																							Switzerland	United States	Switzerland																																																																																																						
Leshan Giant Buddha (乐山大佛)	1045.220220749071	575.7449493208935	5.3166666666666815	2.5449114079028448	12	1851.2941356464933	1711.8596070793983	365.47084641675923	270.0776094337688	397.3476743224769	1656.072734999876	978.7660261090797	1006.5132396863812	1264.0344920704795	1437.7396757322085	209.5333939900476	1393.9332135018817																																																																																														0.43333333333335877	6.733333333333345	7.566666666666675	7.266666666666676	4.3333333333333535	2.233333333333361	0.9000000000000253	6.300000000000013	7.466666666666676	7.000000000000011	7.166666666666677	6.400000000000013																																																																																														Burgenland	Alberta	Alberta	New York	Florida	Florida	Florida	Aargau	Aargau	Aargau	Aargau	California																																																																																														Austria	Canada	Canada	United States	United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	United States																																																																																													
Catacombs of Kom El Shoqafa	998.0022211912567	1490.9078503771127	6.620833333333345	1.652223880108256	16	5242.319988960489	377.1560547168336	128.22615793122014	131.53105014575027	206.47057977819196	292.59758855032845	894.4981367327297	284.8680923041328	117.78139899463328	812.6188144511278	1185.5341379358233	4442.491839575321	252.13288565306644	434.93534947954777	790.9490052272977	373.9244586236115																																																																																										5.800000000000015	5.400000000000016	3.666666666666689	8.13333333333334	7.1333333333333435	8.23333333333334	6.966666666666677	4.866666666666685	8.33333333333334	7.10000000000001	7.4333333333333425	2.6000000000000263	6.833333333333345	7.9000000000000075	8.03333333333334	7.500000000000009																																																																																										Alberta	England	Alberta	Alberta	Alberta	Florida	Ontario	Aargau	Västerbotten	Aargau	Aargau	California	California	California	California	Aargau																																																																																										Canada	United Kingdom	Canada	Canada	Canada	United States	Canada	Switzerland	Sweden	Switzerland	Switzerland	United States	United States	United States	United States	Switzerland																																																																																									
Ivan Pavlov's Dog Study	978.5620270048843	676.9223273092817	5.880952380952396	1.7430913191622388	7	794.874873595262	456.3641410328764	698.7528792964581	2334.6985119604215	1522.4472309856683	154.02419722409402	888.7723549394108																																																																																																			7.166666666666677	4.066666666666688	7.366666666666676	7.666666666666675	5.066666666666684	6.966666666666677	2.866666666666692																																																																																																			Alberta	New York	Aargau	California	California	California	Maryland																																																																																																			Canada	United States	Switzerland	United States	United States	United States	United States																																																																																																		
Vostok 1 (Yuri Gagarin) Landing Site	973.0540713911358	714.1469791563858	6.104444444444458	1.5672512699659422	15	1475.7355071851475	2065.483940469894	2607.735860612093	1067.1561282034681	779.6498654693073	108.979002330492	395.1357799071223	1223.6732610388062	970.4954856085075	535.7062689456156	1580.663936591541	686.6968043399288	42.28066620911581	60.47859154305012	995.9399724129465																																																																																											7.500000000000009	3.000000000000025	3.4333333333333567	5.533333333333349	6.400000000000013	5.833333333333348	6.066666666666681	7.333333333333343	8.266666666666673	7.400000000000009	4.066666666666688	6.100000000000014	6.633333333333345	5.633333333333349	8.366666666666672																																																																																											Saxony	England	England	Saxony	England	England	Saxony	Florida	Västerbotten	England	England	Alberta	England	Alberta	California																																																																																											Germany	United Kingdom	United Kingdom	Germany	United Kingdom	United Kingdom	Germany	United States	Sweden	United Kingdom	United Kingdom	Canada	United Kingdom	Canada	United States																																																																																										
Eratosthenes Measures Earth's Circumference	963.7832790525987	391.26466139188216	6.847619047619058	1.1665791998310482	7	1703.4334751064875	1026.4275267983685	313.6984283980008	1040.9671867581549	1066.5590234427232	683.0016502716859	912.3956625927688																																																																																																			8.733333333333338	7.30000000000001	5.066666666666684	5.833333333333348	7.700000000000008	7.266666666666676	6.033333333333347																																																																																																			Västerbotten	Aargau	South Carolina	Île-de-France	Aargau	Aargau	Aargau																																																																																																			Sweden	Switzerland	United States	France	Switzerland	Switzerland	Switzerland																																																																																																		
Robert Millikan Oil Drop Experiment	956.5180392388338	166.2396540162502	7.25000000000001	1.2433154601038798	4	830.277507729887	1125.529412062994	1115.585246570952	754.6799905915022																																																																																																						7.866666666666674	7.966666666666674	5.100000000000017	8.066666666666674																																																																																																						Västerbotten	California	California	California																																																																																																						Sweden	United States	United States	United States																																																																																																					
Little Sandy, Nat'l Wildlife Refuge, United States	947.9790529043722	891.1948575742308	6.402651515151527	1.8109251890054576	88	1202.9474449820498	1225.9329876449892	137.0226174263124	1188.3278383645604	1591.6163797114284	1833.5710753685237	1793.113155329217	2289.5945517982236	2073.313425459062	1024.0946495718395	1678.4142798105688	1778.7717580028323	1489.541672683737	2605.840901003729	1429.9075192114522	2087.0040166887648	2686.4625034406968	1424.6733198724282	1744.2948383966757	900.1856311166283	1810.506145740372	2299.2592728609075	33.180443967069685	375.0178416323586	151.47290707255527	1296.1417179981488	100.30943416226644	182.65824121249278	354.42576253357356	343.36429718812184	391.58297200668335	82.51325151828847	1759.7413625981862	1555.922240088731	57.117415471032096	1943.3420744898308	1711.316952627816	1161.5014145707908	54.64527791040913	33.044710683718904	31.822617298640992	20.64273466534905	23.226455581660044	2317.809151260676	23.444451022440045	62.72918962756833	46.67455837939959	31.86284103229099	36.55847349653587	1508.8985706799897	1876.9776755891692	1581.617742263256	1322.9040682488537	1182.7808200048871	42.75836939967812	301.1848088465324	33.61878371648655	377.6639534800157	1532.8567718237693	55.729920067066956	87.80357004953898	82.29349706347787	1889.6189824880314	1294.7203517851556	1077.330479807833	2050.054066581396	674.3874265935113	51.209427086476396	53.47848417303513	176.98383298052804	51.209427086476396	49.692779597254955	13.40150187439161	277.5385422598448	996.723323630607	4627.514942976704	1471.5773705110612	1947.4314509416665	78.92074177197996	1352.3290230926839	1119.0910948634487	37.66504086260476	1065.948781114215	25.803642100848695	273.44405363620905	428.59122576930565	1545.7202581520016	328.2170780331209																		8.13333333333334	8.100000000000007	7.800000000000008	5.366666666666683	4.666666666666686	5.666666666666682	4.233333333333354	4.366666666666687	6.466666666666679	4.866666666666685	6.500000000000012	6.26666666666668	6.6666666666666785	6.333333333333346	4.9666666666666845	4.166666666666687	0.5333333333333588	5.666666666666682	3.8666666666666885	2.2000000000000277	6.766666666666678	7.833333333333341	8.066666666666674	7.666666666666675	8.300000000000006	6.466666666666679	7.800000000000008	4.533333333333353	6.533333333333346	7.700000000000008	2.733333333333359	6.333333333333346	4.900000000000018	3.1000000000000245	6.466666666666679	7.10000000000001	6.533333333333346	4.0333333333333545	8.000000000000007	7.933333333333341	8.23333333333334	7.633333333333342	7.20000000000001	6.066666666666681	7.6000000000000085	7.233333333333343	6.966666666666677	8.066666666666674	7.766666666666675	8.666666666666671	6.566666666666679	7.500000000000009	4.600000000000019	7.066666666666677	6.700000000000012	1.43333333333336	8.200000000000006	4.600000000000019	7.1333333333333435	8.33333333333334	7.633333333333342	8.500000000000005	7.000000000000011	5.2666666666666835	7.266666666666676	7.700000000000008	6.866666666666678	8.066666666666674	7.966666666666674	5.833333333333348	8.200000000000006	7.9000000000000075	8.566666666666672	8.433333333333339	6.900000000000011	5.900000000000015	1.3666666666666931	3.300000000000024	7.20000000000001	5.7333333333333485	5.033333333333351	8.33333333333334	4.000000000000021	8.433333333333339	6.533333333333346	7.10000000000001	7.633333333333342	7.566666666666675																		Västerbotten	Aargau	Aargau	South Carolina	Île-de-France	Unknown	Unknown	Unknown	New York	New Jersey	Illinois	Maine	New York	New York	Michigan	Connecticut	Washington	Harjumaa	Pennsylvania	Massachusetts	Connecticut	New York	New York	Pennsylvania	Pennsylvania	California	Pennsylvania	California	California	Pennsylvania	California	California	Massachusetts	Pennsylvania	Pennsylvania	North Carolina	Ontario	Lisbon	California	Pennsylvania	Pennsylvania	California	Pennsylvania	Pennsylvania	Pennsylvania	Pennsylvania	California	Pennsylvania	Pennsylvania	Florida	New York	Florida	New York	Aargau	California	California	Florida	New York	Aargau	California	New York	Pennsylvania	Aargau	North Carolina	Aargau	Alberta	Aargau	Pennsylvania	Pennsylvania	Alberta	Pennsylvania	Alberta	Pennsylvania	Alberta	Aargau	Alberta	Alberta	Alberta	Alberta	Texas	Indiana	Pennsylvania	North Carolina	Pennsylvania	Aargau	Aargau	California	California																		Sweden	Switzerland	Switzerland	United States	France	Unknown	Unknown	Unknown	United States	United States	United States	United States	United States	United States	United States	United States	United States	Estonia	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	Portugal	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Switzerland	United States	United States	United States	United States	Switzerland	United States	United States	United States	Switzerland	United States	Switzerland	Canada	Switzerland	United States	United States	Canada	United States	Canada	United States	Canada	Switzerland	Canada	Canada	Canada	Canada	United States	United States	United States	United States	United States	Switzerland	Switzerland	United States	United States																	
Chang'an (长安), Han Dynasty, China	933.3362125350872	555.8015918629874	6.26666666666668	0.6155395104206441	4	556.3873720771237	1273.1706164951452	1650.96247134225	252.82439022582938																																																																																																						6.16666666666668	6.300000000000013	7.166666666666677	5.43333333333335																																																																																																						England	California	Aargau	California																																																																																																						United Kingdom	United States	Switzerland	United States																																																																																																					
Chattahoochee, Nat’l Forest, United States	930.0850695846007	1119.077006330394	6.2264069264069395	1.8658110103077878	77	243.69369768215617	3341.5844872854736	36.830681066017085	537.9108461522496	1705.3368926837536	464.5363249287479	2292.365680089495	315.38982471220635	2262.110935616541	3164.819929245146	2880.1035538759534	229.83676842175709	158.68247823530783	87.80581988626462	474.3234457762051	1958.4508935379197	3068.393442247431	331.2083478116041	456.20763626266535	507.1736909079016	60.14086312822509	72.2226674407287	103.19433915588296	407.7445601171431	215.7090381563195	297.99560401734135	2646.5180223630246	2560.0988596434076	616.3917835228738	2836.4160097193494	161.62021196068616	133.88956405893578	430.55246447225295	97.21502949707386	1150.8348638291668	45.63641620357256	54.84913503017531	625.6717005403713	164.47143794217752	615.0821181451722	804.6756177553835	2722.095103261687	76.44962030885098	52.91424138204913	204.92778574143907	3465.2016541691564	70.80331329272644	1452.1950674947957	808.5135962958717	31.27312767162052	56.47845239325719	3249.4838799963914	44.113149160789554	776.1550109149812	40.09014484493034	13.63727881259359	2886.194403725793	3373.896867501757	1795.758729340584	26.689612408165193	51.62008766690953	86.9432001655172	18.829985721328757	38.25776961612035	39.99228719986432	487.52674742037414	45.617641828332296	109.93361784323456	860.4426055603547	815.2312955615605	9.634668537648123	28.2459548998449	2815.5618579834177	2890.5179447401865	980.5485419606565	2179.0785645626247	394.0008649047604																													3.1333333333333577	2.266666666666694	7.166666666666677	2.1333333333333613	0.7333333333333587	5.666666666666682	5.900000000000015	7.700000000000008	7.166666666666677	7.566666666666675	3.633333333333356	6.966666666666677	5.800000000000015	6.466666666666679	7.000000000000011	4.566666666666686	5.800000000000015	6.600000000000012	6.866666666666678	3.8666666666666885	7.733333333333341	6.833333333333345	6.700000000000012	7.733333333333341	6.333333333333346	5.900000000000015	8.03333333333334	4.40000000000002	1.8666666666666947	7.20000000000001	4.866666666666685	7.20000000000001	7.866666666666674	7.20000000000001	6.300000000000013	8.000000000000007	8.100000000000007	7.333333333333343	6.766666666666678	4.9666666666666845	5.766666666666682	4.40000000000002	7.233333333333343	7.866666666666674	7.233333333333343	2.1666666666666945	8.000000000000007	6.966666666666677	6.433333333333346	7.20000000000001	8.000000000000007	6.233333333333347	8.100000000000007	7.1333333333333435	7.533333333333342	8.066666666666674	2.733333333333359	4.0333333333333545	4.533333333333353	7.633333333333342	8.166666666666673	5.000000000000018	8.633333333333338	7.666666666666675	8.066666666666674	8.200000000000006	8.266666666666673	7.466666666666676	7.166666666666677	5.066666666666684	8.066666666666674	7.733333333333341	3.1333333333333577	4.700000000000019	6.933333333333344	2.53333333333336	7.033333333333344																													England	England	Texas	Missouri	New York	Wisconsin	Pennsylvania	California	California	Louisiana	Manitoba	California	Connecticut	Connecticut	Pennsylvania	Saxony	Illinois	Pennsylvania	Pennsylvania	Massachusetts	Massachusetts	Massachusetts	North Carolina	Pennsylvania	Pennsylvania	Michigan	Ontario	New York	Florida	Aargau	Pennsylvania	Pennsylvania	New York	Pennsylvania	Aargau	North Carolina	North Carolina	Aargau	New York	New York	New York	California	California	Pennsylvania	Pennsylvania	New Jersey	Pennsylvania	Alberta	Aargau	Pennsylvania	Pennsylvania	Alberta	Pennsylvania	Alberta	Alberta	Alberta	Alberta	Alberta	Alberta	Alberta	Alberta	California	Alberta	Alberta	Pennsylvania	North Carolina	Pennsylvania	Aargau	Aargau	California	Alberta	Alberta	England	England	Aargau	Vienna	Aargau																													United Kingdom	United Kingdom	United States	United States	United States	United States	United States	United States	United States	United States	Canada	United States	United States	United States	United States	Germany	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	United States	United States	Switzerland	United States	United States	United States	United States	Switzerland	United States	United States	Switzerland	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	Switzerland	United States	United States	Canada	United States	Canada	Canada	Canada	Canada	Canada	Canada	Canada	Canada	United States	Canada	Canada	United States	United States	United States	Switzerland	Switzerland	United States	Canada	Canada	United Kingdom	United Kingdom	Switzerland	Austria	Switzerland																												
Ta Prohm Temple	888.7357888780159	844.2418570413267	6.170833333333346	2.3236069602141254	16	764.9781482637151	371.98352537596315	2200.7610549637616	2787.323717554524	1343.5569766247147	303.4921524251421	264.75904041361093	374.80609257392547	2344.468216154115	398.33773274043324	279.5370069191233	1172.4811944133876	1190.9950052542745	219.22596742795807	66.82334058196905	136.24345036163868																																																																																										1.133333333333359	7.700000000000008	7.766666666666675	5.7333333333333485	7.4333333333333425	7.866666666666674	8.433333333333339	6.333333333333346	3.4333333333333567	0.4666666666666921	7.30000000000001	6.066666666666681	7.20000000000001	6.933333333333344	7.500000000000009	7.4333333333333425																																																																																										Burgenland	Florida	Alberta	Aargau	Alberta	Florida	Västerbotten	California	England	England	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau																																																																																										Austria	United States	Canada	Switzerland	Canada	United States	Sweden	United States	United Kingdom	United Kingdom	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																																																																																									
Tikal, Maya Civilization	886.8242701130717	1011.6608013305248	5.040740740740759	1.9457314964407086	9	491.66257425585803	200.656529909662	2585.2594254639525	2854.29191404486	929.332486032445	178.26203476543552	108.447211144071	502.26310261597683	131.24315278538586																																																																																																	4.30000000000002	4.633333333333352	3.033333333333358	7.233333333333343	7.833333333333341	2.53333333333336	4.233333333333354	3.7000000000000224	7.866666666666674																																																																																																	England	England	Alberta	Saxony	Alberta	Florida	Alberta	England	Alberta																																																																																																	United Kingdom	United Kingdom	Canada	Germany	Canada	United States	Canada	United Kingdom	Canada																																																																																																
Kinkaku-ji (金閣寺)	870.1635350126679	1074.347013007148	6.994871794871806	1.7743108041482667	13	459.4375419533325	952.3502552494135	561.2593154565809	1579.3405741540357	2716.3354590456593	276.9799095454328	3635.2244010994796	205.6341311196171	70.97397720440331	240.66451745371427	237.74796223562745	92.37381402997927	283.8040966174079																																																																																													3.8666666666666885	3.2666666666666906	4.600000000000019	8.100000000000007	7.633333333333342	8.300000000000006	8.066666666666674	8.300000000000006	7.733333333333341	8.33333333333334	8.166666666666673	6.433333333333346	8.13333333333334																																																																																													California	England	England	Alberta	Saxony	Alberta	Saxony	Alberta	Florida	Västerbotten	Aargau	Aargau	California																																																																																													United States	United Kingdom	United Kingdom	Canada	Germany	Canada	Germany	Canada	United States	Sweden	Switzerland	Switzerland	United States																																																																																												
Assassination of Yitzhak Rabin	865.7581774407586	1045.9748113384119	7.174074074074085	0.8433879030474967	9	198.05281139750167	1668.1481233874606	76.40283005579563	2744.995678319829	209.7452792676131	98.36926457845894	248.16244041114956	2471.5443394932236	76.40283005579563																																																																																																	7.933333333333341	6.966666666666677	7.6000000000000085	8.533333333333339	5.2666666666666835	7.10000000000001	7.066666666666677	7.233333333333343	6.866666666666678																																																																																																	New York	Västerbotten	Västerbotten	Alberta	Aargau	Aargau	California	California	Aargau																																																																																																	United States	Sweden	Sweden	Canada	Switzerland	Switzerland	United States	United States	Switzerland																																																																																																
Kerma, Kerma Kingdom of Nubia	857.5974458651744	0	6.933333333333344	0	1	857.5974458651744																																																																																																									6.933333333333344																																																																																																									California																																																																																																									United States																																																																																																								
Adam Smith Begins Writing 'The Wealth of Nations'	857.385925645422	0	7.566666666666675	0	1	857.385925645422																																																																																																									7.566666666666675																																																																																																									California																																																																																																									United States																																																																																																								
Mount Everest	854.7826468205687	1131.510943785844	6.473333333333345	2.301004611516933	10	847.7420781371754	4072.492811053672	719.8179371093145	289.3304547510346	514.0327856982194	118.68739795077595	105.94350673986966	1240.8264037551896	611.5967860924253	27.356306918009718																																																																																																0.8000000000000254	4.433333333333353	7.666666666666675	7.766666666666675	7.9000000000000075	8.200000000000006	8.266666666666673	4.900000000000018	8.13333333333334	6.6666666666666785																																																																																																Burgenland	California	Florida	Alberta	Florida	Västerbotten	Västerbotten	California	California	California																																																																																																Austria	United States	United States	Canada	United States	Sweden	Sweden	United States	United States	United States																																																																																															
St. Peter's Basilica	851.8732932439789	894.8718490249667	5.996296296296309	2.1647823398381525	9	130.1117426292529	84.76168371540075	178.89269101554493	1248.3207286309532	1306.7184763228151	2271.123018808546	109.82153227505715	2290.0088542419244	47.10091155631442																																																																																																	6.500000000000012	5.633333333333349	7.366666666666676	4.266666666666687	0.7000000000000254	7.700000000000008	6.833333333333345	8.13333333333334	6.833333333333345																																																																																																	England	England	Saxony	California	New York	Västerbotten	England	Alberta	California																																																																																																	United Kingdom	United Kingdom	Germany	United States	United States	Sweden	United Kingdom	Canada	United States																																																																																																
Great Smoky Mountains, Nat’l Park, United States	834.214034632901	1070.331430868316	6.513071895424848	1.8981481450223896	51	2845.1921740741723	64.12748773224955	126.61839768161846	351.66540219049006	558.4909533186432	167.05927510065192	2099.3306682821853	298.07046178310367	108.94534058252499	84.59914172665543	414.8154350522124	148.6435100123258	3161.7158647807214	2246.8757969863577	132.77613329458313	2655.2498640747176	257.3715820561888	98.49502169497828	57.87156170229494	882.8167066962991	3241.4022967672095	830.9319976625357	258.396024283363	2103.3566386750604	74.88087729296132	66.63503135523878	235.3103347764005	555.973417172057	74.48702786155299	77.46973721137242	130.41096082365954	2374.72216037603	108.69990237291218	3027.570458023235	86.53539551041844	12.287064992598316	25.485199115505054	31.853630972059072	29.683182121242524	2029.2612029478921	119.52787296157135	91.47921941937064	247.40875592823716	2171.7312007189184	3203.317409861255	941.4190443811959	98.26325577532032	31.853630972059072	1034.857234462794	106.58471754872932	2362.390105112212																																																							7.1333333333333435	7.866666666666674	8.33333333333334	6.000000000000014	4.766666666666685	5.633333333333349	6.400000000000013	6.000000000000014	5.633333333333349	0.033333333333358854	6.866666666666678	7.500000000000009	4.40000000000002	5.300000000000017	7.066666666666677	7.366666666666676	7.400000000000009	7.333333333333343	7.466666666666676	7.700000000000008	6.600000000000012	6.733333333333345	5.43333333333335	2.3000000000000274	7.10000000000001	7.4333333333333425	4.933333333333351	3.166666666666691	7.166666666666677	8.100000000000007	7.833333333333341	6.433333333333346	5.500000000000016	6.466666666666679	7.30000000000001	8.100000000000007	8.200000000000006	8.200000000000006	8.633333333333338	1.3000000000000262	8.066666666666674	8.000000000000007	3.5666666666666895	10	6.566666666666679	7.233333333333343	4.266666666666687	8.433333333333339	7.066666666666677	8.23333333333334	7.6000000000000085																																																							Florida	Alberta	Alberta	Florida	Pennsylvania	Pennsylvania	Pennsylvania	Pennsylvania	Massachusetts	North Brabant	Michigan	North Carolina	Florida	New York	Pennsylvania	Aargau	Pennsylvania	Pennsylvania	California	California	Florida	New York	Aargau	Wisconsin	Wisconsin	North Carolina	Pennsylvania	New Jersey	Pennsylvania	Pennsylvania	Pennsylvania	California	California	Alberta	Pennsylvania	Alberta	Alberta	Alberta	Alberta	Alberta	Pennsylvania	Pennsylvania	Vermont	Washington	Aargau	Aargau	New York	Alberta	Aargau	California	California																																																							United States	Canada	Canada	United States	United States	United States	United States	United States	United States	Netherlands	United States	United States	United States	United States	United States	Switzerland	United States	United States	United States	United States	United States	United States	Switzerland	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	United States	Canada	Canada	Canada	Canada	Canada	United States	United States	United States	United States	Switzerland	Switzerland	United States	Canada	Switzerland	United States	United States																																																						
Code of Hammurabi Discovery Site	831.3177377856128	596.3388279413015	6.208333333333346	1.1267887014776856	4	1764.7355034775223	446.8327212470569	912.3221468488588	201.38057956901366																																																																																																						6.500000000000012	6.866666666666678	4.30000000000002	7.166666666666677																																																																																																						Aargau	California	Canterbury	California																																																																																																						Switzerland	United States	New Zealand	United States																																																																																																					
Lenin's Mausoleum	827.8470581573342	1135.9622928126005	6.630303030303041	1.4444917700801159	11	460.13405932682684	180.9080672778213	2618.4276635646684	204.45539817200034	136.21522112564296	330.92336058989684	3700.693311421951	100.04513025551093	430.63668825008233	723.5631172697546	220.31562247652056																																																																																															8.13333333333334	6.833333333333345	3.7000000000000224	6.933333333333344	7.366666666666676	5.33333333333335	4.5000000000000195	8.566666666666672	7.533333333333342	6.600000000000012	7.4333333333333425																																																																																															Alberta	Aargau	California	Aargau	Florida	Florida	Florida	Västerbotten	Alberta	England	Aargau																																																																																															Canada	Switzerland	United States	Switzerland	United States	United States	United States	Sweden	Canada	United Kingdom	Switzerland																																																																																														
Petra	804.8392257084129	852.4439844218591	6.729629629629641	1.1888831198660035	9	2038.8222245789245	217.4961211711394	196.93404972750153	89.21788604774265	2303.4507106127553	214.9616051939941	623.7734443050986	1541.9220894910352	16.974900247525568																																																																																																	7.800000000000008	6.600000000000012	5.700000000000015	8.100000000000007	5.633333333333349	5.966666666666681	4.833333333333352	7.666666666666675	8.266666666666673																																																																																																	Saxony	Saxony	New York	Florida	Florida	South Carolina	Île-de-France	Aargau	California																																																																																																	Germany	Germany	United States	United States	United States	United States	France	Switzerland	United States																																																																																																
Gatineau Park, , Canada	803.325144489952	1217.9913173057816	6.946666666666678	1.0499947089813744	5	252.47046415982726	3231.1749587878485	343.47601905279873	49.997125863210734	139.5071545860748																																																																																																					8.200000000000006	7.766666666666675	5.500000000000016	7.333333333333343	5.933333333333348																																																																																																					Västerbotten	South Carolina	Île-de-France	California	California																																																																																																					Sweden	United States	France	United States	United States																																																																																																				
Venus de Milo (statue)	780.3099809388909	476.4936226844252	6.837500000000012	0.7179131601771568	8	797.9898192366253	28.86597628413887	1465.2218012967226	861.6948897481415	82.89046833224315	797.1088704280702	905.6384359597233	1303.069586225463																																																																																																		7.033333333333344	5.866666666666681	6.133333333333347	6.866666666666678	7.766666666666675	5.966666666666681	7.366666666666676	7.700000000000008																																																																																																		Alberta	Alberta	Florida	Florida	Alberta	New York	Aargau	Aargau																																																																																																		Canada	Canada	United States	United States	Canada	United States	Switzerland	Switzerland																																																																																																	
Boring, Oregon, United States	779.7157888155164	742.0529601841134	6.12666666666668	0.6717803873952303	5	112.30560622254964	208.20460155840294	1727.4656397314777	1646.5960037481595	204.0070928169917																																																																																																					6.300000000000013	4.900000000000018	6.033333333333347	6.866666666666678	6.533333333333346																																																																																																					Florida	Florida	Saxony	Aargau	Aargau																																																																																																					United States	United States	Germany	Switzerland	Switzerland																																																																																																				
