citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	dists39	dists40	dists41	dists42	dists43	dists44	dists45	dists46	dists47	dists48	dists49	dists50	dists51	dists52	dists53	dists54	dists55	dists56	dists57	dists58	dists59	dists60	dists61	dists62	dists63	dists64	dists65	dists66	dists67	dists68	dists69	dists70	dists71	dists72	dists73	dists74	dists75	dists76	dists77	dists78	dists79	dists80	dists81	dists82	dists83	dists84	dists85	dists86	dists87	dists88	dists89	dists90	dists91	dists92	dists93	dists94	dists95	dists96	dists97	dists98	dists99	dists100	dists101	dists102	dists103	dists104	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	times39	times40	times41	times42	times43	times44	times45	times46	times47	times48	times49	times50	times51	times52	times53	times54	times55	times56	times57	times58	times59	times60	times61	times62	times63	times64	times65	times66	times67	times68	times69	times70	times71	times72	times73	times74	times75	times76	times77	times78	times79	times80	times81	times82	times83	times84	times85	times86	times87	times88	times89	times90	times91	times92	times93	times94	times95	times96	times97	times98	times99	times100	times101	times102	times103	times104	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	region39	region40	region41	region42	region43	region44	region45	region46	region47	region48	region49	region50	region51	region52	region53	region54	region55	region56	region57	region58	region59	region60	region61	region62	region63	region64	region65	region66	region67	region68	region69	region70	region71	region72	region73	region74	region75	region76	region77	region78	region79	region80	region81	region82	region83	region84	region85	region86	region87	region88	region89	region90	region91	region92	region93	region94	region95	region96	region97	region98	region99	region100	region101	region102	region103	region104	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38	country39	country40	country41	country42	country43	country44	country45	country46	country47	country48	country49	country50	country51	country52	country53	country54	country55	country56	country57	country58	country59	country60	country61	country62	country63	country64	country65	country66	country67	country68	country69	country70	country71	country72	country73	country74	country75	country76	country77	country78	country79	country80	country81	country82	country83	country84	country85	country86	country87	country88	country89	country90	country91	country92	country93	country94	country95	country96	country97	country98	country99	country100	country101	country102	country103	country104
Longmen Grottoes	5695.151933422524	4185.259348261675	6.3941176470588355	1.673133934456455	17	7304.013183790319	8267.983723260539	3671.874541613102	124.15420983794965	8308.994336086771	7535.291340667685	7701.6042830767865	11632.440056779347	3369.0536623537378	11556.98876153956	11884.5865964228	169.82050495322832	8527.604664214641	5857.598103131649	397.745903755713	184.75215653737186	323.07684016170384																																																																																									6.866666666666678	6.400000000000013	7.400000000000009	7.066666666666677	4.466666666666686	2.366666666666694	4.000000000000021	7.20000000000001	7.766666666666675	7.10000000000001	6.333333333333346	7.266666666666676	7.633333333333342	3.4333333333333567	7.933333333333341	7.4333333333333425	8.03333333333334																																																																																									Saxony	Florida	Saxony	Saxony	England	England	Saxony	Alberta	Bavaria	Ontario	Aargau	Florida	Aargau	Aargau	Ontario	California	California																																																																																									Germany	United States	Germany	Germany	United Kingdom	United Kingdom	Germany	Canada	Germany	Canada	Switzerland	United States	Switzerland	Switzerland	Canada	United States	United States																																																																																								
The Great Molasses Flood	5396.35264826196	5786.343157363331	7.011111111111122	1.0078702640398691	9	15352.353029098434	709.7411784408171	14777.309824252117	12.410077705999104	7017.92355011988	6921.634497732903	252.3219682026647	3408.340830620355	115.13887818446938																																																																																																	5.133333333333351	6.833333333333345	6.000000000000014	7.366666666666676	8.400000000000006	8.366666666666672	7.633333333333342	6.500000000000012	6.866666666666678																																																																																																	Saxony	Alberta	Saxony	Florida	Västerbotten	Västerbotten	Västerbotten	California	California																																																																																																	Germany	Canada	Germany	United States	Sweden	Sweden	Sweden	United States	United States																																																																																																
Large Underground Xenon Experiment (LUX)	5177.509548326907	3921.3771464690008	6.329629629629642	1.486519212455262	9	9174.07003219283	727.8161236168909	1567.431921161016	7497.353746151453	305.4663403278464	8061.797820181627	7731.892525667103	1025.8876329754628	10505.86979266793																																																																																																	8.600000000000005	4.700000000000019	3.46666666666669	7.800000000000008	6.633333333333345	6.933333333333344	6.800000000000011	5.366666666666683	6.6666666666666785																																																																																																	Västerbotten	England	England	England	England	Alberta	Aargau	Aargau	Aargau																																																																																																	Sweden	United Kingdom	United Kingdom	United Kingdom	United Kingdom	Canada	Switzerland	Switzerland	Switzerland																																																																																																
Nazca Lines	5015.424208682994	5316.530760983317	5.29285714285716	1.6185520950385635	14	15618.953638970697	1193.0599273992896	1807.4712448404734	1347.169696223968	15831.16734553334	3589.513471108007	5087.71686875483	281.1898054596449	331.267169542807	5456.08540169772	4542.533714624553	2530.419016529407	313.8868939092844	12285.504726967893																																																																																												2.2000000000000277	5.133333333333351	4.200000000000021	5.7333333333333485	4.000000000000021	7.166666666666677	4.900000000000018	5.866666666666681	6.900000000000011	5.000000000000018	7.766666666666675	2.9333333333333584	7.6000000000000085	4.700000000000019																																																																																												Burgenland	California	England	England	Saxony	Ontario	Aargau	Florida	England	Alberta	Aargau	Baden-Württemberg	California	Ontario																																																																																												Austria	United States	United Kingdom	United Kingdom	Germany	Canada	Switzerland	United States	United Kingdom	Canada	Switzerland	Germany	United States	Canada																																																																																											
Iguazu Falls	5002.293202424293	5861.711025769896	6.377777777777791	1.5594395954482605	9	1244.6883670227003	2458.130994568063	12025.587875090276	17429.80752181445	8580.427197936811	500.4317079046764	111.0818756416935	2037.5547233976297	632.9285584423253																																																																																																	7.4333333333333425	3.033333333333358	8.400000000000006	5.933333333333348	5.033333333333351	6.36666666666668	7.766666666666675	5.900000000000015	7.533333333333342																																																																																																	Florida	Florida	Västerbotten	Alberta	England	Aargau	Aargau	California	Aargau																																																																																																	United States	United States	Sweden	Canada	United Kingdom	Switzerland	Switzerland	United States	Switzerland																																																																																																
Null Island	4941.078058101687	5148.372401673736	6.744444444444455	2.0732124533060254	12	8849.936145496808	5226.640191152067	18267.170513578283	5847.659448791813	229.81500721599838	334.12117568633215	3080.2038722852103	251.3559178686596	255.36894209259935	9898.005011144765	1961.865770169718	5090.794701737994																																																																																														0.6000000000000254	4.900000000000018	6.766666666666678	7.533333333333342	7.733333333333341	8.33333333333334	8.166666666666673	7.4333333333333425	7.333333333333343	6.700000000000012	8.600000000000005	6.833333333333345																																																																																														England	England	Saxony	Alberta	Alberta	Alberta	England	Alberta	Ontario	Aargau	Västerbotten	Aargau																																																																																														United Kingdom	United Kingdom	Germany	Canada	Canada	Canada	United Kingdom	Canada	Canada	Switzerland	Sweden	Switzerland																																																																																													
Site of First Phone Call (by Alexander Graham Bell)	4934.526224837153	5327.304949476706	6.671428571428584	1.3290918932756164	7	4719.711877292394	4535.045355128249	875.2332373631446	4679.804866408401	1504.6277922835338	17336.122234480743	891.138210903604																																																																																																			5.466666666666683	6.833333333333345	6.633333333333345	6.600000000000012	7.766666666666675	8.900000000000004	4.5000000000000195																																																																																																			Burgenland	Saxony	Ontario	Aargau	Pennsylvania	Nouvelle-Aquitaine	Florida																																																																																																			Austria	Germany	Canada	Switzerland	United States	France	United States																																																																																																		
Sigiriya Fortress	4898.07564053093	1969.9277983142263	5.942222222222235	2.42528247050284	15	6919.963378505478	1798.1445084178652	6120.537074031854	6240.6078361727505	5058.912488263109	3227.133212984698	3766.989245685935	7190.724464432212	5786.299314514347	3427.9125701981334	182.83098779608272	7215.958136869436	5223.396333371587	5496.857074643678	5814.867982076777																																																																																											7.766666666666675	7.533333333333342	8.066666666666674	7.733333333333341	3.8666666666666885	0.6000000000000254	2.2000000000000277	8.566666666666672	4.066666666666688	2.9666666666666917	6.600000000000012	6.800000000000011	7.6000000000000085	7.866666666666674	6.900000000000011																																																																																											Florida	Alberta	Alberta	Florida	Florida	Florida	Florida	Västerbotten	England	England	Alberta	New York	Aargau	Aargau	Aargau																																																																																											United States	Canada	Canada	United States	United States	United States	United States	Sweden	United Kingdom	United Kingdom	Canada	United States	Switzerland	Switzerland	Switzerland																																																																																										
Darvaza Gas Crater	4488.839078341551	4656.566266421792	5.878787878787893	2.241900020625208	11	3854.0843337525157	12642.082001892206	205.7165715699687	11495.687623640048	1777.9971265436084	2216.6094903395892	2243.5351187131487	1353.2919350106317	11664.921690604175	1429.283377033479	494.0205926576883																																																																																															2.833333333333359	6.433333333333346	8.200000000000006	6.766666666666678	7.066666666666677	7.466666666666676	6.6666666666666785	3.0666666666666913	7.6000000000000085	1.200000000000026	7.366666666666676																																																																																															Saxony	Alberta	Alberta	Ontario	Aargau	Aargau	Aargau	Aargau	California	California	Aargau																																																																																															Germany	Canada	Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland																																																																																														
Elba (Napoleon Bonaparte's Island of Exile)	4292.405566114377	2623.388475788855	3.966666666666688	1.5101508386765672	4	6217.5804969556075	6739.399089099803	4140.610412737111	72.03226566498425																																																																																																						2.6000000000000263	2.366666666666694	5.833333333333348	5.066666666666684																																																																																																						England	England	South Carolina	Île-de-France																																																																																																						United Kingdom	United Kingdom	United States	France																																																																																																					
